Наименование филиала ;Необходимый тип транспортного средства;Подана заявка;Выполнена заявка
ВПС Куркино;Машина с носилками;29.08.2022;29.08.2022
Савеловский (3 ОПМПВ);Машина с носилками;29.08.2022;30.08.2022
ВПС Вороново;Машина с носилками;29.08.2022;30.08.2022
Савеловский (3 ОПМПВ);Машина с носилками;29.08.2022;02.09.2022
ВПС Савеловский;Машина с носилками;29.08.2022;29.08.2022
ВПС ПМХ;Машина с носилками;29.08.2022;31.08.2022
Ростокино;Машина с носилками;29.08.2022;31.08.2022
Савеловский (1 ОПМПВ);Машина с носилками;29.08.2022;30.08.2022
ВПС Царицыно;Машина с носилками;29.08.2022;31.08.2022
Зеленоград;Машина с носилками;29.08.2022;30.08.2022
Куркино;Машина с носилками;29.08.2022;01.09.2022
Социальная служба;Машина без носилок (ВПС);29.08.2022;30.08.2022
Царицыно;Машина с носилками;29.08.2022;30.08.2022
Социальная служба;Машина с носилками;29.08.2022;01.09.2022
Координационный центр;Скорая помощь (Центр);30.08.2022;29.08.2022
Координационный центр;Скорая помощь (Центр);30.08.2022;29.08.2022
Координационный центр;Скорая помощь (Центр);30.08.2022;29.08.2022
Отдел МТО;Легковой административный транспорт;30.08.2022;30.08.2022
ВПС Перово;Машина с носилками;30.08.2022;30.08.2022
Савеловский (1 ОПМПВ);Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );30.08.2022;30.08.2022
ВПС Некрасовка;Машина с носилками;30.08.2022;30.08.2022
ВПС Царицыно;Машина с носилками;30.08.2022;30.08.2022
ВПС Бутово;Машина с носилками;30.08.2022;30.08.2022
ВПС Бутово;Машина с носилками;30.08.2022;30.08.2022
ВПС Некрасовка;Машина с носилками;30.08.2022;30.08.2022
ВПС Ростокино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );30.08.2022;30.08.2022
ВПС Дегунино;Машина с носилками;30.08.2022;30.08.2022
Куркино;Машина с носилками;30.08.2022;01.09.2022
ВПС Ростокино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );30.08.2022;30.08.2022
ВПС Вороново;Машина с носилками;30.08.2022;30.08.2022
Савеловский (2 ОПМПВ);Машина с носилками;30.08.2022;31.08.2022
ВПС Дегунино;Машина с носилками;30.08.2022;30.08.2022
ВПС Ростокино;Машина с носилками;30.08.2022;31.08.2022
Савеловский (4 ОПМПВ);Машина с носилками;30.08.2022;02.09.2022
Некрасовка;Машина с носилками;30.08.2022;30.08.2022
ВПС Ростокино;Машина с носилками;30.08.2022;01.09.2022
Савеловский (3 ОПМПВ);Машина с носилками;30.08.2022;31.08.2022
Некрасовка;Машина с носилками;30.08.2022;31.08.2022
ПМХ;Машина с носилками;30.08.2022;31.08.2022
ДСУ Коломенское;Машина с носилками;30.08.2022;31.08.2022
Дегунино;Машина с носилками;30.08.2022;31.08.2022
Савеловский (1 ОПМПВ);Машина с носилками;30.08.2022;31.08.2022
Администрация;Легковой административный транспорт;30.08.2022;31.08.2022
Администрация;Легковой административный транспорт;30.08.2022;31.08.2022
Администрация;Легковой административный транспорт;30.08.2022;01.09.2022
Зеленоград;Машина с носилками;30.08.2022;31.08.2022
Куркино;Машина с носилками;30.08.2022;02.09.2022
Савеловский (4 ОПМПВ);Скорая помощь (Центр);30.08.2022;30.08.2022
Царицыно;Машина с носилками;30.08.2022;31.08.2022
Савеловский (1 ОПМПВ);Машина с носилками;30.08.2022;31.08.2022
Бутово;Машина с носилками;30.08.2022;31.08.2022
Савеловский (1 ОПМПВ);Машина с носилками;30.08.2022;31.08.2022
ВПС Преображенское;Легковой административный транспорт;30.08.2022;31.08.2022
ВПС ПМХ;Машина с носилками;30.08.2022;31.08.2022
ВПС ПМХ;Машина с носилками;31.08.2022;31.08.2022
ВПС Черемушкинская;Машина с носилками;31.08.2022;01.09.2022
ВПС Преображенское;Машина с носилками;31.08.2022;31.08.2022
Зеленоград;Машина с носилками;31.08.2022;02.09.2022
ВПС Люблино;Машина с носилками;31.08.2022;02.09.2022
ВПС Некрасовка;Машина с носилками;31.08.2022;31.08.2022
ВПС Царицыно;Машина с носилками;31.08.2022;31.08.2022
ВПС Люблино;Машина с носилками;31.08.2022;31.08.2022
Царицыно;Машина с носилками;31.08.2022;31.08.2022
ВПС Царицыно;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );31.08.2022;31.08.2022
Координационный центр;Машина с носилками;31.08.2022;31.08.2022
Савеловский (3 ОПМПВ);Машина с носилками;31.08.2022;02.09.2022
Аптека;Грузовой административный транспорт;31.08.2022;05.09.2022
Аптека;Грузовой административный транспорт;31.08.2022;06.09.2022
Аптека;Грузовой административный транспорт;31.08.2022;07.09.2022
Аптека;Грузовой административный транспорт;31.08.2022;08.09.2022
Некрасовка;Машина с носилками;31.08.2022;01.09.2022
ПМДХ;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );31.08.2022;02.09.2022
Куркино;Машина с носилками;31.08.2022;01.09.2022
Аптека;Легковой административный транспорт;31.08.2022;02.09.2022
ВПС Ростокино;Машина с носилками;31.08.2022;01.09.2022
ПМХ;Машина с носилками;31.08.2022;01.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;31.08.2022;01.09.2022
Зеленоград;Машина с носилками;31.08.2022;01.09.2022
Куркино;Машина с носилками;31.08.2022;02.09.2022
Царицыно;Машина с носилками;31.08.2022;01.09.2022
Царицыно;Машина с носилками;31.08.2022;01.09.2022
Царицыно;Машина с носилками;31.08.2022;01.09.2022
Координационный центр;Скорая помощь (Центр);31.08.2022;31.08.2022
Координационный центр;Скорая помощь (Центр);31.08.2022;31.08.2022
Координационный центр;Скорая помощь (Центр);31.08.2022;31.08.2022
Координационный центр;Скорая помощь (Центр);31.08.2022;31.08.2022
Отдел МТО;Легковой административный транспорт;01.09.2022;01.09.2022
ВПС Царицыно;Машина с носилками;01.09.2022;01.09.2022
ВПС Солнцево;Машина с носилками;01.09.2022;01.09.2022
ВПС Вороново;Машина с носилками;01.09.2022;01.09.2022
ВПС Царицыно;Машина с носилками;01.09.2022;01.09.2022
ВПС Дегунино;Машина с носилками;01.09.2022;01.09.2022
ВПС Куркино;Машина с носилками;01.09.2022;01.09.2022
ВПС Некрасовка;Машина с носилками;01.09.2022;01.09.2022
Медицинский архив;Машина с носилками;01.09.2022;01.09.2022
Ростокино;Машина с носилками;01.09.2022;01.09.2022
ВПС Зеленоград;Машина с носилками;01.09.2022;01.09.2022
ВПС Куркино;Машина с носилками;01.09.2022;01.09.2022
ВПС Преображенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );01.09.2022;01.09.2022
ВПС Хорошёво;Машина с носилками;01.09.2022;01.09.2022
ВПС Савеловский;Скорая помощь (Центр);01.09.2022;01.09.2022
Куркино;Скорая помощь (Центр);01.09.2022;01.09.2022
ВПС Некрасовка;Машина с носилками;01.09.2022;01.09.2022
Лаборатория;Легковой административный транспорт;01.09.2022;01.09.2022
Некрасовка;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );01.09.2022;01.09.2022
ДСУ Коломенское;Машина с носилками;01.09.2022;02.09.2022
ВПС Вороново;Машина с носилками;01.09.2022;02.09.2022
Администрация;Легковой административный транспорт;01.09.2022;05.09.2022
Администрация;Легковой административный транспорт;01.09.2022;05.09.2022
ВПС Хорошёво;Машина с носилками;01.09.2022;01.09.2022
ВПС ПМХ;Машина с носилками;01.09.2022;02.09.2022
ВПС ПМХ;Машина с носилками;01.09.2022;02.09.2022
ВПС Савеловский;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );01.09.2022;01.09.2022
Аптека;Легковой административный транспорт;01.09.2022;05.09.2022
ВПС Дегунино;Машина с носилками;01.09.2022;05.09.2022
Координационный центр;Машина с носилками;01.09.2022;01.09.2022
ВПС ПМХ;Машина с носилками;01.09.2022;02.09.2022
ВПС Дегунино;Машина с носилками;01.09.2022;05.09.2022
ВПС Перово;Машина с носилками;01.09.2022;02.09.2022
ВПС Савеловский;Машина с носилками;01.09.2022;02.09.2022
Отдел МТО;Легковой административный транспорт;02.09.2022;02.09.2022
ВПС Черемушкинская;Машина с носилками;02.09.2022;02.09.2022
ВПС ПМХ;Машина с носилками;02.09.2022;02.09.2022
ВПС Люблино;Машина с носилками;02.09.2022;02.09.2022
ДСУ Коломенское;Машина с носилками;02.09.2022;05.09.2022
ВПС Черемушкинская;Машина с носилками;02.09.2022;02.09.2022
Координационный центр;Машина с носилками;02.09.2022;02.09.2022
ВПС Ростокино;Машина с носилками;02.09.2022;02.09.2022
ВПС Ростокино;Скорая помощь (Центр);02.09.2022;02.09.2022
ВПС Бутово;Машина с носилками;02.09.2022;02.09.2022
ВПС Преображенское;Машина с носилками;02.09.2022;02.09.2022
Социальная служба;Легковой административный транспорт;02.09.2022;02.09.2022
ВПС Ростокино;Машина с носилками;02.09.2022;02.09.2022
Некрасовка;Машина с носилками;02.09.2022;03.09.2022
Ростокино;Машина с носилками;02.09.2022;06.09.2022
Куркино;Машина с носилками;02.09.2022;06.09.2022
Дегунино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );02.09.2022;05.09.2022
Лаборатория;Легковой административный транспорт;02.09.2022;06.09.2022
Социальная служба;Машина без носилок (ВПС);02.09.2022;02.09.2022
ВПС Люблино;Машина с носилками;02.09.2022;05.09.2022
Социальная служба;Машина с носилками;02.09.2022;06.09.2022
Координационный центр;Скорая помощь (Центр);02.09.2022;02.09.2022
Координационный центр;Скорая помощь (Центр);03.09.2022;02.09.2022
ВПС Савеловский;Машина с носилками;03.09.2022;03.09.2022
ВПС Перово;Машина с носилками;03.09.2022;03.09.2022
ВПС Куркино;Машина с носилками;03.09.2022;03.09.2022
ВПС Савеловский;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );03.09.2022;03.09.2022
ВПС Куркино;Скорая помощь (Центр);03.09.2022;03.09.2022
ВПС Некрасовка;Машина с носилками;03.09.2022;03.09.2022
ВПС Люблино;Машина с носилками;03.09.2022;03.09.2022
Савеловский (3 ОПМПВ);Машина с носилками;03.09.2022;03.09.2022
ВПС Черемушкинская;Машина с носилками;03.09.2022;03.09.2022
ВПС Некрасовка;Машина с носилками;03.09.2022;03.09.2022
ВПС Царицыно;Машина с носилками;03.09.2022;03.09.2022
ВПС Куркино;Машина с носилками;03.09.2022;03.09.2022
ВПС Ростокино;Машина с носилками;03.09.2022;03.09.2022
ВПС Куркино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );03.09.2022;03.09.2022
ВПС Савеловский;Скорая помощь (Центр);03.09.2022;03.09.2022
ВПС Ростокино;Машина с носилками;04.09.2022;04.09.2022
ВПС Некрасовка;Машина с носилками;04.09.2022;04.09.2022
ВПС Вороново;Машина с носилками;04.09.2022;04.09.2022
ВПС Хорошёво;Машина с носилками;04.09.2022;05.09.2022
ВПС Некрасовка;Машина с носилками;04.09.2022;04.09.2022
Координационный центр;Скорая помощь (Центр);04.09.2022;04.09.2022
Координационный центр;Скорая помощь (Центр);04.09.2022;04.09.2022
Отдел МТО;Легковой административный транспорт;05.09.2022;05.09.2022
ВПС Некрасовка;Скорая помощь (Центр);05.09.2022;05.09.2022
ВПС Некрасовка;Машина с носилками;05.09.2022;05.09.2022
ВПС Куркино;Машина с носилками;05.09.2022;05.09.2022
ВПС ПМХ;Машина с носилками;05.09.2022;05.09.2022
ВПС Царицыно;Машина с носилками;05.09.2022;05.09.2022
ВПС Солнцево;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );05.09.2022;05.09.2022
ВПС ПМХ;Машина с носилками;05.09.2022;05.09.2022
ВПС ПМХ;Машина с носилками;05.09.2022;05.09.2022
ВПС Люблино;Машина с носилками;05.09.2022;05.09.2022
ВПС Солнцево;Машина с носилками;05.09.2022;05.09.2022
Респ.центр;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );05.09.2022;06.09.2022
Царицыно;Машина с носилками;05.09.2022;05.09.2022
Царицыно;Машина с носилками;05.09.2022;05.09.2022
ВПС Люблино;Машина с носилками;05.09.2022;05.09.2022
ВПС Дегунино;Машина с носилками;05.09.2022;05.09.2022
Царицыно;Машина с носилками;05.09.2022;05.09.2022
Зеленоград;Машина с носилками;05.09.2022;05.09.2022
ВПС Черемушкинская;Машина с носилками;05.09.2022;05.09.2022
ВПС Некрасовка;Машина с носилками;05.09.2022;05.09.2022
Зеленоград;Машина с носилками;05.09.2022;05.09.2022
Медицинский архив;Легковой административный транспорт;05.09.2022;06.09.2022
ВПС Ростокино;Машина с носилками;05.09.2022;05.09.2022
ДСУ Коломенское;Машина с носилками;05.09.2022;06.09.2022
ВПС Черемушкинская;Машина с носилками;05.09.2022;06.09.2022
ДСУ Коломенское;Машина с носилками;05.09.2022;06.09.2022
Савеловский (4 ОПМПВ);Машина с носилками;05.09.2022;05.09.2022
ВПС Черемушкинская;Машина с носилками;05.09.2022;06.09.2022
ВПС Хорошёво;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );05.09.2022;05.09.2022
Социальная служба;Машина с носилками;05.09.2022;08.09.2022
Зеленоград;Машина с носилками;05.09.2022;06.09.2022
ДСУ Коломенское;Машина с носилками;05.09.2022;06.09.2022
Администрация;Легковой административный транспорт;05.09.2022;06.09.2022
Социальная служба;Машина с носилками;05.09.2022;08.09.2022
ВПС Савеловский;Машина с носилками;05.09.2022;06.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;05.09.2022;06.09.2022
Социальная служба;Машина с носилками;05.09.2022;08.09.2022
Савеловский (4 ОПМПВ);Машина с носилками;05.09.2022;06.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;05.09.2022;06.09.2022
ВПС Дегунино;Машина с носилками;05.09.2022;09.09.2022
ВПС Преображенское;Машина с носилками;05.09.2022;07.09.2022
Координационный центр;Скорая помощь (Центр);06.09.2022;05.09.2022
ВПС Вороново;Машина с носилками;06.09.2022;06.09.2022
ВПС Царицыно;Машина с носилками;06.09.2022;06.09.2022
ВПС Некрасовка;Машина с носилками;06.09.2022;06.09.2022
ВПС Перово;Машина с носилками;06.09.2022;06.09.2022
ВПС Некрасовка;Машина с носилками;06.09.2022;06.09.2022
ВПС Куркино;Скорая помощь (Центр);06.09.2022;06.09.2022
ВПС Ростокино;Скорая помощь (Центр);06.09.2022;06.09.2022
ВПС ПМХ;Машина без носилок (ВПС);06.09.2022;06.09.2022
ВПС Куркино;Машина с носилками;06.09.2022;06.09.2022
ВПС Царицыно;Машина с носилками;06.09.2022;06.09.2022
ВПС Дегунино;Машина с носилками;06.09.2022;06.09.2022
ВПС Бутово;Машина с носилками;06.09.2022;06.09.2022
ВПС Царицыно;Машина с носилками;06.09.2022;06.09.2022
ВПС Куркино;Скорая помощь (Центр);06.09.2022;06.09.2022
ВПС Бутово;Машина с носилками;06.09.2022;06.09.2022
ВПС Куркино;Скорая помощь (Центр);06.09.2022;06.09.2022
ВПС Ростокино;Машина с носилками;06.09.2022;06.09.2022
ДСУ Коломенское;Машина с носилками;06.09.2022;07.09.2022
ВПС Куркино;Машина с носилками;06.09.2022;06.09.2022
ВПС Люблино;Машина с носилками;06.09.2022;06.09.2022
ВПС Ростокино;Скорая помощь (Центр);06.09.2022;06.09.2022
ВПС Люблино;Машина с носилками;06.09.2022;06.09.2022
Социальная служба;Машина с носилками;06.09.2022;09.09.2022
ВПС Дегунино;Машина с носилками;06.09.2022;07.09.2022
ВПС Хорошёво;Машина с носилками;06.09.2022;09.09.2022
Ростокино;Машина с носилками;06.09.2022;08.09.2022
ВПС ПМХ;Машина с носилками;06.09.2022;07.09.2022
Ресурсный центр;Машина без носилок (ВПС);06.09.2022;07.09.2022
ВПС Куркино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );06.09.2022;06.09.2022
Администрация;Легковой административный транспорт;06.09.2022;07.09.2022
Администрация;Легковой административный транспорт;06.09.2022;07.09.2022
Администрация;Легковой административный транспорт;06.09.2022;08.09.2022
Бутово;Машина с носилками;06.09.2022;07.09.2022
Зеленоград;Машина с носилками;06.09.2022;07.09.2022
ПМДХ;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );06.09.2022;07.09.2022
Куркино;Машина с носилками;06.09.2022;08.09.2022
Куркино;Машина с носилками;06.09.2022;09.09.2022
ВПС ПМХ;Машина с носилками;06.09.2022;07.09.2022
ДСУ Люблино;Машина с носилками;06.09.2022;07.09.2022
ВПС Ростокино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );06.09.2022;06.09.2022
Координационный центр;Скорая помощь (Центр);07.09.2022;06.09.2022
Координационный центр;Скорая помощь (Центр);07.09.2022;06.09.2022
Координационный центр;Скорая помощь (Центр);07.09.2022;06.09.2022
Отдел МТО;Легковой административный транспорт;07.09.2022;07.09.2022
Администрация;Машина с носилками;07.09.2022;07.09.2022
ВПС Солнцево;Машина с носилками;07.09.2022;07.09.2022
ВПС Перово;Машина с носилками;07.09.2022;07.09.2022
Аптека;Грузовой административный транспорт;07.09.2022;09.09.2022
ВПС Зеленоград;Машина с носилками;07.09.2022;07.09.2022
ВПС Куркино;Машина с носилками;07.09.2022;07.09.2022
ВПС Преображенское;Машина с носилками;07.09.2022;07.09.2022
Некрасовка;Машина с носилками;07.09.2022;08.09.2022
ПМХ;Машина с носилками;07.09.2022;07.09.2022
ВПС Дегунино;Машина с носилками;07.09.2022;07.09.2022
ВПС Люблино;Машина с носилками;07.09.2022;07.09.2022
ВПС Солнцево;Машина с носилками;07.09.2022;07.09.2022
ВПС Куркино;Машина с носилками;07.09.2022;07.09.2022
ВПС Царицыно;Машина с носилками;07.09.2022;07.09.2022
ВПС ПМХ;Машина с носилками;07.09.2022;07.09.2022
ДСУ Коломенское;Машина с носилками;07.09.2022;08.09.2022
Куркино;Машина с носилками;07.09.2022;09.09.2022
Координационный центр;Машина с носилками;07.09.2022;07.09.2022
Дегунино;Машина с носилками;07.09.2022;08.09.2022
ВПС ПМХ;Машина с носилками;07.09.2022;08.09.2022
ВПС Перово;Машина с носилками;07.09.2022;08.09.2022
ВПС Люблино;Машина с носилками;07.09.2022;08.09.2022
ВПС Солнцево;Машина с носилками;07.09.2022;09.09.2022
ВПС Бутово;Машина с носилками;07.09.2022;08.09.2022
ВПС Савеловский;Машина с носилками;07.09.2022;08.09.2022
Царицыно;Машина с носилками;07.09.2022;08.09.2022
ВПС Дегунино;Машина с носилками;07.09.2022;12.09.2022
ДСУ Коломенское;Машина с носилками;07.09.2022;09.09.2022
Бутово;Машина с носилками;07.09.2022;08.09.2022
Координационный центр;Скорая помощь (Центр);07.09.2022;07.09.2022
Координационный центр;Скорая помощь (Центр);07.09.2022;07.09.2022
Координационный центр;Скорая помощь (Центр);07.09.2022;07.09.2022
Отдел МТО;Легковой административный транспорт;08.09.2022;08.09.2022
ВПС Куркино;Машина с носилками;08.09.2022;08.09.2022
ВПС Куркино;Машина с носилками;08.09.2022;08.09.2022
ВПС ПМХ;Машина с носилками;08.09.2022;08.09.2022
ВПС Царицыно;Машина с носилками;08.09.2022;08.09.2022
ВПС Куркино;Машина с носилками;08.09.2022;08.09.2022
ВПС Царицыно;Машина с носилками;08.09.2022;08.09.2022
ВПС Савеловский;Машина с носилками;08.09.2022;08.09.2022
Ростокино;Машина с носилками;08.09.2022;08.09.2022
ВПС Хорошёво;Машина с носилками;08.09.2022;08.09.2022
ВПС Куркино;Машина с носилками;08.09.2022;08.09.2022
ДСУ Люблино;Машина с носилками;08.09.2022;12.09.2022
ВПС Люблино;Машина с носилками;08.09.2022;08.09.2022
ВПС Ростокино;Машина с носилками;08.09.2022;08.09.2022
ВПС Царицыно;Машина с носилками;08.09.2022;08.09.2022
ВПС Царицыно;Машина с носилками;08.09.2022;08.09.2022
Зеленоград;Машина с носилками;08.09.2022;08.09.2022
Респираторный центр;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );08.09.2022;08.09.2022
ВПС Некрасовка;Машина с носилками;08.09.2022;08.09.2022
ПМХ;Машина с носилками;08.09.2022;12.09.2022
ВПС Хорошёво;Машина с носилками;08.09.2022;08.09.2022
Отдел кадровой политики;Легковой административный транспорт;08.09.2022;13.09.2022
Респираторный центр;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );08.09.2022;08.09.2022
Респираторный центр;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );08.09.2022;08.09.2022
Респираторный центр;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );08.09.2022;08.09.2022
Дегунино;Машина с носилками;08.09.2022;09.09.2022
ВПС Дегунино;Машина с носилками;08.09.2022;09.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;08.09.2022;09.09.2022
Бутово;Машина с носилками;08.09.2022;09.09.2022
ВПС Савеловский;Машина с носилками;08.09.2022;12.09.2022
ВПС Зеленоград;Машина с носилками;08.09.2022;09.09.2022
Координационный центр;Скорая помощь (Центр);09.09.2022;08.09.2022
Координационный центр;Скорая помощь (Центр);09.09.2022;08.09.2022
Отдел МТО;Легковой административный транспорт;09.09.2022;09.09.2022
ВПС ПМХ;Машина с носилками;09.09.2022;09.09.2022
ВПС Люблино;Машина с носилками;09.09.2022;09.09.2022
ВПС Хорошёво;Машина с носилками;09.09.2022;01.09.2022
ВПС ПМХ;Машина с носилками;09.09.2022;09.09.2022
Аптека;Легковой административный транспорт;09.09.2022;09.09.2022
Ростокино;Машина с носилками;09.09.2022;13.09.2022
ВПС Ростокино;Машина с носилками;09.09.2022;09.09.2022
Респираторный центр;Машина с носилками;09.09.2022;09.09.2022
ВПС Некрасовка;Машина с носилками;09.09.2022;09.09.2022
ВПС Солнцево;Машина с носилками;09.09.2022;09.09.2022
ВПС Вороново;Машина с носилками;09.09.2022;10.09.2022
ВПС Солнцево;Машина с носилками;09.09.2022;09.09.2022
ВПС Куркино;Машина с носилками;09.09.2022;09.09.2022
ВПС Куркино;Машина с носилками;09.09.2022;09.09.2022
ВПС Черемушкинская;Машина с носилками;09.09.2022;09.09.2022
Зеленоград;Машина с носилками;09.09.2022;09.09.2022
ДСУ Коломенское;Машина с носилками;09.09.2022;12.09.2022
ДСУ Люблино;Машина с носилками;09.09.2022;13.09.2022
Администрация;Легковой административный транспорт;09.09.2022;12.09.2022
Администрация;Легковой административный транспорт;09.09.2022;12.09.2022
Аптека;Грузовой административный транспорт;09.09.2022;12.09.2022
Администрация;Легковой административный транспорт;09.09.2022;13.09.2022
Савеловский (4 ОПМПВ);Машина с носилками;09.09.2022;13.09.2022
Аптека;Грузовой административный транспорт;09.09.2022;13.09.2022
ВПС ПМХ;Машина с носилками;09.09.2022;09.09.2022
ВПС Черемушкинская;Машина с носилками;09.09.2022;09.09.2022
Социальная служба;Машина с носилками;09.09.2022;09.09.2022
ВПС Перово;Машина с носилками;09.09.2022;12.09.2022
Координационный центр;Скорая помощь (Центр);10.09.2022;09.09.2022
Координационный центр;Скорая помощь (Центр);10.09.2022;09.09.2022
Координационный центр;Скорая помощь (Центр);10.09.2022;09.09.2022
ВПС ПМХ;Машина с носилками;10.09.2022;10.09.2022
ВПС Преображенское;Машина с носилками;10.09.2022;10.09.2022
ВПС Ростокино;Машина с носилками;10.09.2022;10.09.2022
ВПС Черемушкинская;Машина с носилками;10.09.2022;10.09.2022
ВПС Ростокино;Машина с носилками;10.09.2022;10.09.2022
ВПС Хорошёво;Машина с носилками;10.09.2022;10.09.2022
ВПС Солнцево;Машина с носилками;10.09.2022;10.09.2022
ВПС Царицыно;Машина с носилками;10.09.2022;10.09.2022
ВПС Хорошёво;Машина с носилками;10.09.2022;10.09.2022
Координационный центр;Скорая помощь (Центр);10.09.2022;10.09.2022
Координационный центр;Скорая помощь (Центр);10.09.2022;10.09.2022
ВПС Солнцево;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );11.09.2022;11.09.2022
ВПС Люблино;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );11.09.2022;11.09.2022
ВПС Некрасовка;Скорая помощь (Центр);11.09.2022;11.09.2022
ВПС Преображенское;Машина с носилками;11.09.2022;11.09.2022
Савеловский (1 ОПМПВ);Машина без носилок (ВПС);11.09.2022;12.09.2022
ВПС Солнцево;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );11.09.2022;11.09.2022
ВПС Дегунино;Машина с носилками;11.09.2022;11.09.2022
ВПС ПМХ;Машина с носилками;11.09.2022;11.09.2022
ВПС Хорошёво;Машина с носилками;11.09.2022;11.09.2022
ВПС ПМХ;Машина с носилками;11.09.2022;11.09.2022
ВПС Перово;Машина с носилками;11.09.2022;11.09.2022
ВПС Преображенское;Машина с носилками;11.09.2022;11.09.2022
ВПС Преображенское;Машина с носилками;11.09.2022;11.09.2022
ВПС Преображенское;Машина с носилками;11.09.2022;14.09.2022
Координационный центр;Скорая помощь (Центр);11.09.2022;11.09.2022
Координационный центр;Скорая помощь (Центр);11.09.2022;11.09.2022
Отдел МТО;Легковой административный транспорт;12.09.2022;12.09.2022
ВПС ПМХ;Машина с носилками;12.09.2022;12.09.2022
Медицинский архив;Легковой административный транспорт;12.09.2022;13.09.2022
Аптека;Грузовой административный транспорт;12.09.2022;14.09.2022
ВПС Царицыно;Машина с носилками;12.09.2022;12.09.2022
Аптека;Грузовой административный транспорт;12.09.2022;15.09.2022
ВПС Дегунино;Машина с носилками;12.09.2022;12.09.2022
ВПС Ростокино;Машина с носилками;12.09.2022;12.09.2022
ВПС ПМХ;Машина с носилками;12.09.2022;15.09.2022
ВПС Куркино;Машина с носилками;12.09.2022;12.09.2022
ВПС Куркино;Машина с носилками;12.09.2022;12.09.2022
ВПС Бутово;Машина с носилками;12.09.2022;12.09.2022
ВПС Зеленоград;Машина с носилками;12.09.2022;13.09.2022
Савеловский (2 ОПМПВ);Машина с носилками;12.09.2022;12.09.2022
ВПС Куркино;Машина с носилками;12.09.2022;12.09.2022
Некрасовка;Машина с носилками;12.09.2022;13.09.2022
ПМДХ;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );12.09.2022;13.09.2022
ВПС Царицыно;Машина с носилками;12.09.2022;12.09.2022
ВПС Царицыно;Машина с носилками;12.09.2022;12.09.2022
ВПС Савеловский;Машина с носилками;12.09.2022;12.09.2022
ВПС Савеловский;Машина с носилками;12.09.2022;12.09.2022
ВПС Хорошёво;Машина с носилками;12.09.2022;12.09.2022
Социальная служба;Машина с носилками;12.09.2022;14.09.2022
Савеловский (2 ОПМПВ);Машина с носилками;12.09.2022;13.09.2022
Социальная служба;Машина с носилками;12.09.2022;15.09.2022
Савеловский (4 ОПМПВ);Машина с носилками;12.09.2022;14.09.2022
Социальная служба;Машина с носилками;12.09.2022;15.09.2022
Савеловский (1 ОПМПВ);Машина с носилками;12.09.2022;12.09.2022
ВПС Солнцево;Машина с носилками;12.09.2022;14.09.2022
ВПС Преображенское;Машина с носилками;12.09.2022;14.09.2022
ВПС Дегунино;Машина с носилками;12.09.2022;16.09.2022
ВПС Хорошёво;Машина с носилками;12.09.2022;16.09.2022
Координационный центр;Скорая помощь (Центр);13.09.2022;12.09.2022
Координационный центр;Скорая помощь (Центр);13.09.2022;12.09.2022
Координационный центр;Скорая помощь (Центр);13.09.2022;12.09.2022
